"Time","HomeSchedulingName","AwaySchedulingName","HomeTeam","AwayTeam","HomeScores","VisitorScores","Pool","Division","Field","ReservationGroup","Place","GameName"
"2021-09-05 12:30:00",,,"Bonnsai","Du bis Frisbee","10","15","Pool A","Mixed 3. Liga NW","1","mixed3nw","Dortmund",
"2021-09-05 10:00:00",,,"Du bis Frisbee","Torpedo Phoenix","13","14","Pool A","Mixed 3. Liga NW","2","mixed3nw","Dortmund",
"2021-09-05 12:30:00",,,"Ultimate Lions Essen","Hamburg Alsters","15","10","Pool A","Mixed 3. Liga NW","2","mixed3nw","Dortmund",
"2021-09-05 10:00:00",,,"Sunblocker Oldenburg","Farmers Lüneburg","15","9","Pool A","Mixed 4. Liga NW","1","mixed4nw","Wilhelmshaven",
"2021-09-05 12:30:00",,,"Farmers Lüneburg","Nullacht! Ultimate Münster","3","15","Pool A","Mixed 4. Liga NW","1","mixed4nw","Wilhelmshaven",
"2021-09-05 10:00:00",,,"Caracals","Nullacht! Ultimate Münster","15","6","Pool A","Mixed 4. Liga NW","2","mixed4nw","Wilhelmshaven",
"2021-09-05 12:30:00",,,"Windhosen ","Caracals","2","15","Pool A","Mixed 4. Liga NW","2","mixed4nw","Wilhelmshaven",
"2021-09-05 10:00:00",,,"Seed #3","Seed #1",,,"Pool A","DMO21_5er","1","X5","Wilhelmshaven",
"2021-09-05 12:30:00",,,"Seed #1","Seed #2",,,"Pool A","DMO21_5er","1","X5","Wilhelmshaven",
"2021-09-05 10:00:00",,,"Seed #2","Seed #5",,,"Pool A","DMO21_5er","2","X5","Wilhelmshaven",
"2021-09-05 12:30:00",,,"Seed #3","Seed #4",,,"Pool A","DMO21_5er","2","X5","Wilhelmshaven",
"2021-09-11 09:00:00",,,"Mainzelmädchen","GoHo Girls","15","6","Pool A","Damen 1. Liga","1","damen1","Berlin",
"2021-09-11 10:40:00",,,"Heidelbärchen","M-Pfau","15","1","Pool B","Damen 1. Liga","1","damen1","Berlin",
"2021-09-11 12:20:00",,,"Seagulls","Mainzelmädchen","10","15","Pool A","Damen 1. Liga","1","damen1","Berlin",
"2021-09-11 14:00:00",,,"Frankas","Heidelbärchen","3","15","Pool B","Damen 1. Liga","1","damen1","Berlin",
"2021-09-11 15:40:00",,,"Mainzelmädchen","Woodchicas","15","7","Pool A","Damen 1. Liga","1","damen1","Berlin",
"2021-09-11 17:20:00",,,"Heidelbärchen","jinX","14","15","Pool B","Damen 1. Liga","1","damen1","Berlin",
"2021-09-11 09:00:00",,,"Woodchicas","Seagulls","9","15","Pool A","Damen 1. Liga","2","damen1","Berlin",
"2021-09-11 10:40:00",,,"jinX","Frankas","15","4","Pool B","Damen 1. Liga","2","damen1","Berlin",
"2021-09-11 12:20:00",,,"GoHo Girls","Woodchicas","7","15","Pool A","Damen 1. Liga","2","damen1","Berlin",
"2021-09-11 14:00:00",,,"M-Pfau","jinX","4","15","Pool B","Damen 1. Liga","2","damen1","Berlin",
"2021-09-11 15:40:00",,,"Seagulls","GoHo Girls","15","10","Pool A","Damen 1. Liga","2","damen1","Berlin",
"2021-09-11 17:20:00",,,"Frankas","M-Pfau","9","15","Pool B","Damen 1. Liga","2","damen1","Berlin",
"2021-09-11 10:00:00",,,"Metronom","U de Cologne","8","15","Pool A","Damen 2. Liga Nord","1","damen2n","Aachen",
"2021-09-11 13:30:00",,,"U de Cologne","Frizzly Bears","12","13","Pool A","Damen 2. Liga Nord","1","damen2n","Aachen",
"2021-09-11 16:00:00",,,"Gulls2Sea","Bonobabes","5","15","Pool A","Damen 2. Liga Nord","1","damen2n","Aachen",
"2021-09-11 10:00:00",,,"Frizzly Bears","Gulls2Sea","15","6","Pool A","Damen 2. Liga Nord","2","damen2n","Aachen",
"2021-09-11 13:30:00",,,"Metronom","Bonobabes","15","14","Pool A","Damen 2. Liga Nord","2","damen2n","Aachen",
"2021-09-11 16:00:00",,,"Frizzly Bears","Metronom","14","10","Pool A","Damen 2. Liga Nord","2","damen2n","Aachen",
"2021-09-11 09:00:00",,,"Bad Skid","BORA","15","11","Pool A","Open 1. Liga 1-8","1","open1a","Schwaigern",
"2021-09-11 10:40:00",,,"MUC","Frizzly Bears","15","11","Pool B","Open 1. Liga 1-8","1","open1a","Schwaigern",
"2021-09-11 12:20:00",,,"Heidees","Bad Skid","12","15","Pool A","Open 1. Liga 1-8","1","open1a","Schwaigern",
"2021-09-11 14:00:00",,,"Ars Ludendi","MUC","15","14","Pool B","Open 1. Liga 1-8","1","open1a","Schwaigern",
"2021-09-11 15:40:00",,,"Bad Skid","Wall City","8","15","Pool A","Open 1. Liga 1-8","1","open1a","Schwaigern",
"2021-09-11 17:20:00",,,"MUC","7 Schwaben","15","12","Pool B","Open 1. Liga 1-8","1","open1a","Schwaigern",
"2021-09-11 09:00:00",,,"Wall City","Heidees","15","10","Pool A","Open 1. Liga 1-8","2","open1a","Schwaigern",
"2021-09-11 10:40:00",,,"7 Schwaben","Ars Ludendi","13","15","Pool B","Open 1. Liga 1-8","2","open1a","Schwaigern",
"2021-09-11 12:20:00",,,"BORA","Wall City","5","15","Pool A","Open 1. Liga 1-8","2","open1a","Schwaigern",
"2021-09-11 14:00:00",,,"Frizzly Bears","7 Schwaben","15","12","Pool B","Open 1. Liga 1-8","2","open1a","Schwaigern",
"2021-09-11 15:40:00",,,"Heidees","BORA","11","15","Pool A","Open 1. Liga 1-8","2","open1a","Schwaigern",
